title,genres,popularity,vote_average
The White Balloon,"Family, Drama",1.2,7.5
Things to Do in Denver When You're Dead,"Drama, Crime",4.49,6.7
Antonia's Line,"Drama, Comedy",2.03,7.2
Once Upon a Time... When We Were Colored,"Romance, Drama",0.25,4.5
Last Summer in the Hamptons,,0.53,0.0
Angels and Insects,"Drama, Romance",2.15,6.3
White Squall,"Action, Drama",9.57,6.3
Dunston Checks In,"Adventure, Comedy, Family",4.81,5.1
Black Sheep,Comedy,8.96,6.0
Nick of Time,"Crime, Drama, Thriller",6.85,6.1
The Journey of August King,Drama,0.41,6.7
Mary Reilly,"Drama, Horror, Thriller, Romance",12.87,5.7
Vampire in Brooklyn,"Comedy, Horror, Romance",9.07,4.5
Beautiful Girls,"Comedy, Drama, Romance",4.67,6.6
Broken Arrow,"Action, Adventure, Drama, Thriller",14.96,5.7
A Midwinter's Tale,Comedy,0.51,7.5
La Haine,Drama,12.11,7.9
Shopping,"Action, Adventure, Drama, Science Fiction, Thriller",2.66,5.6
Heidi Fleiss: Hollywood Madam,Documentary,0.64,6.8
City Hall,"Drama, Thriller",4.81,6.0
Bottle Rocket,"Comedy, Crime, Drama",6.9,6.8
Mr. Wrong,"Comedy, Romance",3.33,3.3
Unforgettable,"Drama, Mystery, Science Fiction, Thriller",2.46,5.3
Happy Gilmore,Comedy,9.59,6.5
The Bridges of Madison County,"Drama, Romance",5.95,7.3
Nobody Loves Me,"Drama, Comedy, Family",1.02,5.1
Muppet Treasure Island,"Action, Comedy, Music, Family, Adventure",6.9,6.5
Catwalk,Documentary,0.98,7.0
Headless Body in Topless Bar,Crime,0.0,0.0
Braveheart,"Action, Drama, History, War",20.76,7.7
Taxi Driver,"Crime, Drama",14.09,8.1
Rumble in the Bronx,"Crime, Action, Comedy, Thriller",12.31,6.5
Before and After,"Drama, Thriller",2.94,5.8
Margaret's Museum,Drama,0.37,7.5
Happiness Is in the Field,Comedy,1.25,7.0
Anne Frank Remembered,"Documentary, Drama, Foreign",0.24,7.3
The Young Poisoner's Handbook,"Comedy, Crime, Drama",6.18,6.9
If Lucy Fell,"Comedy, Romance",2.89,5.4
Steal Big Steal Little,"Comedy, Drama",1.52,5.1
Race the Sun,"Action, Adventure, Comedy, Drama, Family",1.32,5.2
The Boys of St. Vincent,Drama,0.87,7.0
Boomerang,"Comedy, Romance",6.51,5.4
Chungking Express,"Drama, Comedy, Romance",6.78,7.9
The Star Maker,"Drama, Romance",1.7,6.8
Flirting with Disaster,"Comedy, Romance",5.58,6.3
The Neverending Story III: Escape from Fantasia,Fantasy,6.25,4.4
The Silences of the Palace,Drama,0.41,4.3
Jupiter's Wife,,0.0,0.0
Pie in the Sky,"Comedy, Romance",0.7,7.0
Angela,"Comedy, Drama",2.2,5.6
Frankie Starlight,"Drama, Romance, War",0.64,5.4
Jade,"Action, Thriller, Mystery, Romance",11.42,5.1
Nueba Yol,"Comedy, Drama, Romance",0.29,5.5
Sonic Outlaws,"Music, Documentary",0.0,0.0
Down Periscope,Comedy,5.18,5.6
From the Journals of Jean Seberg,Documentary,0.28,6.5
Man of the Year,Comedy,0.54,3.8
The Neon Bible,Drama,0.37,7.2
Target,,0.0,0.0
Up Close & Personal,"Drama, Romance",3.4,5.9
The Birdcage,Comedy,6.5,6.7
Virgin Mary,Drama,0.92,7.0
The Brothers McMullen,"Comedy, Drama, Romance",2.04,6.3
Bad Boys,"Action, Comedy, Crime, Thriller",9.26,6.5
The Amazing Panda Adventure,"Action, Adventure, Drama, Family",2.38,5.0
The Basketball Diaries,"Drama, Crime",7.42,7.2
An Awfully Big Adventure,"Romance, Drama, Comedy",0.92,6.0
Amateur,"Crime, Comedy, Drama, Thriller",1.76,6.5
Apollo 13,Drama,18.76,7.3
Rob Roy,Adventure,10.19,6.5
The Addiction,"Drama, Horror",3.14,6.4
Batman Forever,"Action, Crime, Fantasy",13.32,5.2
Belle de Jour,"Drama, Romance",10.14,7.3
Beyond Rangoon,"Drama, Thriller",2.04,6.4
Blue in the Face,Comedy,11.53,6.8
Canadian Bacon,"Action, Comedy",5.39,5.9
Casper,"Fantasy, Comedy, Family",12.81,6.0
Clockers,"Mystery, Crime, Drama",4.56,6.8
Congo,"Action, Adventure, Drama, Mystery, Science Fiction, Thriller",7.26,5.0
Crimson Tide,"Action, Thriller, Drama",8.66,7.0
Crumb,Documentary,3.62,7.6
Desperado,"Thriller, Action, Crime",6.95,6.8
Devil in a Blue Dress,"Drama, Mystery, Thriller",4.65,6.3
Die Hard: With a Vengeance,"Action, Thriller",15.14,6.9
The Doom Generation,"Action, Comedy, Crime, Drama",7.12,5.6
Feast of July,"Drama, Crime",0.52,0.0
First Knight,"Action, Adventure, Drama, Romance",15.18,5.9
Free Willy 2 - The Adventure Home,Adventure,7.58,5.5
Hackers,"Action, Crime, Thriller, Drama",14.81,6.2
Jeffrey,"Comedy, Drama, Romance",3.2,6.5
Johnny Mnemonic,"Adventure, Action, Drama, Science Fiction, Thriller",11.72,5.5
Judge Dredd,Science Fiction,8.18,5.4
Jury Duty,"Comedy, Drama",3.68,4.0
Kids,"Drama, Crime",4.88,6.8
Living in Oblivion,"Drama, Comedy",10.06,7.2
Lord of Illusions,"Mystery, Horror, Thriller",4.1,5.9
Love & Human Remains,"Comedy, Drama",0.35,7.0
Mad Love,"Drama, Family, Romance",2.62,5.5
Mallrats,"Romance, Comedy",8.26,6.8
Mighty Morphin Power Rangers: The Movie,"Action, Adventure, Science Fiction, Family, Fantasy",7.02,5.2
Moonlight and Valentino,"Comedy, Drama, Romance",1.01,5.6
Mute Witness,"Thriller, Foreign",2.47,6.4
Nadja,"Horror, Thriller",7.72,5.9
The Net,"Crime, Drama, Mystery, Thriller, Action",13.3,5.6
Nine Months,Comedy,8.48,5.5
Party Girl,Comedy,1.17,5.8
The Prophecy,"Fantasy, Horror, Thriller",10.19,6.4
Reckless,"Fantasy, Comedy, Drama",0.12,10.0
Safe,Drama,8.18,7.2
The Scarlet Letter,"Drama, History, Romance",6.75,5.5
The Show,Documentary,0.16,5.3
Showgirls,Drama,17.5,4.9
Smoke,"Comedy, Drama",5.55,7.2
Something to Talk About,Comedy,3.74,5.7
Species,"Science Fiction, Horror, Action",13.49,5.5
The Stars Fell on Henrietta,Drama,0.91,6.6
Strange Days,"Crime, Drama, Science Fiction, Thriller",11.22,6.8
The Umbrellas of Cherbourg,"Drama, Romance",8.13,7.6
The Tie That Binds,Thriller,1.82,4.6
Three Wishes,"Drama, Fantasy",11.0,6.1
Total Eclipse,"Drama, Romance",4.55,6.5
"To Wong Foo, Thanks for Everything! Julie Newmar",Comedy,7.65,6.3
Under Siege 2: Dark Territory,"Action, Thriller",7.49,5.6
Unstrung Heroes,"Comedy, Drama, Family",2.88,6.4
Unzipped,Documentary,0.79,6.0
A Walk in the Clouds,"Drama, Romance",9.72,6.5
Waterworld,"Adventure, Action",16.89,5.9
White Man's Burden,Drama,1.83,5.1
Wild Bill,"Action, Western",8.92,5.9
The Browning Version,Drama,3.73,6.0
Bushwhacked,"Adventure, Action, Comedy, Crime, Family",3.29,4.9
Burnt by the Sun,Drama,2.49,6.7
Before the Rain,"Drama, War",3.53,7.7
Before Sunrise,"Drama, Romance",11.3,7.7
Billy Madison,Comedy,6.64,6.2
The Babysitter,"Drama, Thriller",2.76,4.7
Boys on the Side,"Comedy, Drama",3.03,6.3
The Cure,"Drama, Family",2.69,7.2
Castle Freak,"Thriller, Drama, Horror, Mystery",2.27,5.8
Circle of Friends,"Drama, Family, Romance",2.61,6.5
Clerks,Comedy,10.51,7.4
Don Juan DeMarco,"Romance, Drama, Comedy",7.44,6.3
Disclosure,"Drama, Thriller, Crime, Mystery, Romance",11.81,5.9
Dream Man,Thriller,0.16,2.5
Drop Zone,"Action, Adventure, Thriller",9.58,5.1
Destiny Turns on the Radio,"Crime, Comedy, Fantasy",0.71,5.3
Death and the Maiden,"Drama, Thriller, Mystery",5.48,7.1
Dolores Claiborne,"Crime, Drama, Mystery",5.8,7.1
Dumb and Dumber,Comedy,9.84,6.5
Eat Drink Man Woman,"Comedy, Drama, Romance",4.86,7.5
Exotica,"Drama, Mystery",5.38,6.5
Exit to Eden,"Thriller, Comedy, Crime, Romance",4.32,4.3
Ed Wood,"Comedy, Drama, History",11.72,7.3
French Kiss,"Comedy, Romance",9.15,6.2
Forget Paris,"Comedy, Drama, Romance",16.24,6.1
Far from Home: The Adventures of Yellow Dog,"Action, Adventure, Drama, Family",2.66,5.6
A Goofy Movie,"Romance, Animation, Family, Comedy, Adventure",10.18,6.7
Hideaway,"Drama, Thriller",8.18,5.0
Fluke,"Drama, Family, Fantasy",4.95,6.6
Farinelli,"History, Drama",8.94,5.9
Gordy,"Drama, Family, Fantasy",0.4,3.0
Gumby: The Movie,"Fantasy, Animation, Science Fiction, Family",0.09,5.0
The Glass Shield,"Drama, Action, Thriller, Crime",1.01,5.4
Hoop Dreams,Documentary,9.48,7.7
Heavenly Creatures,"Drama, Fantasy",9.44,6.9
Houseguest,"Comedy, Family",2.69,6.0
Immortal Beloved,"Drama, Music, Romance",7.98,6.9
Heavyweights,"Comedy, Family, Drama",9.55,6.0
The Hunted,"Action, Thriller",2.76,6.0
I.Q.,"Comedy, Drama, Romance",5.15,5.9
Interview with the Vampire,"Horror, Romance",11.97,7.2
Jefferson in Paris,"Drama, Romance",1.6,5.2
The Jerky Boys,"Comedy, Crime",0.75,4.8
Junior,"Comedy, Family, Romance",6.71,4.7
Just Cause,"Action, Drama, Mystery, Thriller",9.2,6.0
A Kid in King Arthur's Court,"Adventure, Fantasy, Comedy, Science Fiction, Family",5.87,4.3
Kiss of Death,"Action, Crime, Drama, Thriller",7.8,5.7
Star Wars,"Adventure, Action, Science Fiction",42.15,8.1
Little Women,"Drama, Romance",9.77,7.0
A Little Princess,"Drama, Family, Fantasy",7.73,7.4
Ladybird Ladybird,Drama,0.85,7.4
L'Enfer,"Crime, Drama",1.95,6.6
Like Water for Chocolate,"Drama, Romance",4.13,6.6
Legends of the Fall,"Adventure, Drama, Romance, War",12.2,7.2
Major Payne,"Adventure, Comedy, Family",9.25,6.1
Little Odessa,"Action, Drama",1.86,6.4
Mi Vida Loca,"Crime, Drama",1.79,5.7
Love Affair,"Drama, Romance",3.29,4.3
Losing Isaiah,Drama,7.7,6.4
The Madness of King George,"Comedy, Drama, History",4.81,6.7
Mary Shelley's Frankenstein,"Drama, Horror, Science Fiction, Romance",14.29,6.1
Man of the House,"Action, Comedy, Family",2.56,5.1
Mixed Nuts,"Comedy, Drama, Romance",2.9,5.2
Milk Money,"Comedy, Romance",3.77,5.6
Miracle on 34th Street,"Fantasy, Drama, Family",5.83,6.4
Miami Rhapsody,"Comedy, Romance",1.14,5.6
My Family,"Comedy, Drama",3.12,7.0
Murder in the First,"Crime, Drama",9.52,6.9
Nobody's Fool,"Drama, Comedy",2.89,7.0
Nell,"Drama, Thriller",5.93,6.1
New Jersey Drive,"Crime, Drama",0.63,6.9
New York Cop,"Action, Thriller, Crime, Drama",0.0,0.0
Beyond Bedlam,Horror,0.43,4.0
Nemesis 2 - Nebula,"Science Fiction, Action, Thriller",1.47,4.6
Nina Takes a Lover,"Drama, Romance",0.77,7.4
Natural Born Killers,"Crime, Thriller, Drama",11.23,6.9
Only You,"Comedy, Drama, Romance",4.94,6.4
Once Were Warriors,Drama,4.03,7.6
Poison Ivy II: Lily,"Drama, Romance, Thriller",6.45,4.6
Outbreak,"Action, Drama, Science Fiction, Thriller",13.68,6.4
Leon: The Professional,"Thriller, Crime, Drama",20.48,8.2
The Perez Family,"Comedy, Drama, Romance",1.43,6.6
A Pyromaniac's Love Story,"Comedy, Drama, Romance",0.46,7.0
Pulp Fiction,"Thriller, Crime",140.95,8.3
Panther,Drama,7.16,6.4
Pushing Hands,"Comedy, Drama",1.64,6.1
Priest,"Drama, Romance",1.88,6.4
Quiz Show,"History, Drama",7.77,7.1
Picture Bride,"Drama, History",1.3,7.4
Queen Margot,"Drama, History",4.41,7.0
The Quick and the Dead,"Action, Western",7.55,6.2
Roommates,"Drama, Comedy",3.4,6.4
Prêt-à-Porter,"Drama, Comedy",6.26,5.3
Three Colors: Red,"Drama, Mystery, Romance",7.83,7.8
Three Colors: Blue,"Drama, Music, Mystery",8.84,7.7
Three Colors: White,"Comedy, Drama, Mystery",6.59,7.3
"Red Firecracker, Green Firecracker",Drama,0.08,7.0
Rent-a-Kid,"Comedy, Family, TV Movie",1.16,5.1
Relative Fear,"Horror, Drama",0.5,4.7
Stuart Saves His Family,"Comedy, Drama",1.39,5.0
The Swan Princess,Animation,8.91,6.5
The Secret of Roan Inish,"Drama, Family, Fantasy",1.75,6.1
The Specialist,"Action, Thriller",10.39,5.5
Stargate,"Action, Adventure, Science Fiction",13.33,6.8
The Santa Clause,"Fantasy, Drama, Comedy, Family",9.67,6.3
The Shawshank Redemption,"Drama, Crime",51.65,8.5
Shallow Grave,"Crime, Thriller",8.22,7.0
Suture,"Drama, Thriller",1.3,6.0
Strawberry and Chocolate,"Comedy, Drama",1.78,7.1
Swimming with Sharks,"Crime, Comedy",5.87,6.7
The Sum of Us,"Comedy, Drama, Romance",1.41,6.0
Senior Trip,Comedy,5.06,5.7
To Live,"Drama, Romance, War",5.26,7.7
Tank Girl,"Action, Comedy, Fantasy, Science Fiction",7.6,5.5
Tales from the Crypt: Demon Knight,"Horror, Comedy, Thriller",9.46,6.7
Star Trek: Generations,"Science Fiction, Action, Adventure, Thriller",8.11,6.4
Tales from the Hood,"Crime, Horror, Thriller",2.86,5.4
Tom & Viv,"Drama, Romance",0.7,5.8
Village of the Damned,"Thriller, Horror, Science Fiction",6.53,5.6
Tommy Boy,Comedy,11.97,6.8
Vanya on 42nd Street,"Drama, Romance",7.04,6.1
The Underneath,"Thriller, Crime",2.06,5.6
The Walking Dead,"Drama, War",0.62,6.6
What's Eating Gilbert Grape,"Romance, Drama",10.39,7.5
Virtuosity,"Action, Crime, Science Fiction, Thriller",5.19,5.4
While You Were Sleeping,"Comedy, Drama, Romance",15.78,6.5
The War,Drama,3.91,6.3
Double Happiness,"Comedy, Romance",0.37,5.5
Muriel's Wedding,"Drama, Comedy, Romance",5.25,6.9
The Baby-Sitters Club,"Comedy, Drama, Family",2.16,5.3
Ace Ventura: Pet Detective,"Comedy, Mystery",11.25,6.4
"The Adventures of Priscilla, Queen of the Desert","Drama, Comedy",8.33,7.2
Backbeat,"Drama, Music",2.49,6.2
Bitter Moon,"Thriller, Drama, Romance",11.3,7.0
Bullets Over Broadway,"Action, Comedy, Thriller",5.72,7.0
Clear and Present Danger,"Action, Drama, Thriller",7.51,6.4
The Client,"Drama, Thriller, Crime, Mystery",15.26,6.4
"Corrina, Corrina","Comedy, Drama, Family, Romance",6.92,6.4
Crooklyn,"Comedy, Drama",2.53,6.7
The Crow,"Fantasy, Action, Thriller",15.8,7.3
Cobb,Drama,2.58,6.1
The Flintstones,"Fantasy, Comedy, Family",15.02,5.0
Forrest Gump,"Comedy, Drama, Romance",48.31,8.2
Four Weddings and a Funeral,"Comedy, Drama, Romance",8.99,6.6
Higher Learning,"Romance, Drama, Crime",7.82,6.4
I Like It Like That,"Comedy, Drama, Romance",0.29,6.3
I Love Trouble,"Action, Comedy, Romance",3.57,5.3
It Could Happen to You,"Comedy, Drama, Romance",11.27,6.1
The Jungle Book,"Adventure, Drama, Family",10.71,5.9
"The Wonderful, Horrible Life of Leni Riefenstahl","Documentary, Foreign",0.57,7.3
The Lion King,"Family, Animation, Drama",21.61,8.0
Little Buddha,"Drama, History",5.68,6.0
New Nightmare,"Horror, Thriller, Mystery, Fantasy",9.86,6.4
The Mask,"Romance, Comedy, Crime, Fantasy",14.13,6.6
Maverick,"Action, Adventure, Comedy, Drama, Western",15.05,6.6
Mrs. Parker and the Vicious Circle,Drama,4.74,6.3
The Naked Gun 33⅓: The Final Insult,"Comedy, Crime",10.59,6.4
The Paper,"Comedy, Drama",4.01,6.1
Reality Bites,Drama,6.51,6.5
Red Rock West,"Crime, Drama, Thriller",5.14,6.4
Ri¢hie Ri¢h,"Comedy, Family",6.6,5.4
Safe Passage,Drama,4.93,4.9
The River Wild,"Action, Adventure, Crime, Thriller",10.51,6.1
Speed,"Action, Adventure, Crime",10.86,6.8
Speechless,"Comedy, Romance",2.33,5.5
Timecop,"Thriller, Science Fiction, Action, Crime",8.91,5.5
True Lies,"Action, Thriller",11.4,6.8
When a Man Loves a Woman,"Drama, Romance",4.32,6.0
Wolf,Fantasy,14.06,6.0
Wyatt Earp,"Drama, Action, Western",9.28,6.5
Bad Company,"Action, Crime, Romance, Thriller",0.91,4.9
A Man of No Importance,"Comedy, Drama",0.41,6.5
S.F.W.,"Comedy, Drama",2.5,6.1
A Low Down Dirty Shame,"Action, Comedy, Crime",3.02,6.0
"Boys Life: Three Stories of Love, Lust, and Liberation",Drama,0.05,2.0
Colonel Chabert,Drama,0.93,5.9
"Faster, Pussycat! Kill! Kill!","Action, Crime",4.22,6.5
Jason's Lyric,"Crime, Drama, Romance",0.91,5.9
The Secret Adventures of Tom Thumb,"Animation, Science Fiction",0.38,7.1
Street Fighter,"Action, Adventure, Thriller",13.58,4.1
Coldblooded,"Action, Comedy",2.34,6.7
Desert Winds,,0.25,0.0
Fall Time,"Action, Adventure, Crime, Drama, Thriller",1.11,6.3
The Fear,"Horror, Thriller",0.27,3.4
Frank and Ollie,Documentary,0.14,7.5
Girl in the Cadillac,"Romance, Adventure, Crime, Drama",0.41,10.0
Homage,"Thriller, Drama",0.01,0.0
Mirage,"Action, Thriller",0.3,4.0
Open Season,Comedy,0.01,0.0
Dos Crímenes,,0.23,5.0
Brother Minister: The Assassination of Malcolm X,Documentary,0.04,4.0
Highlander: The Final Dimension,"Action, Fantasy, Science Fiction",6.87,4.5
Federal Hill,,0.1,5.0
In the Mouth of Madness,"Horror, Mystery, Thriller",8.5,7.1
8 Seconds,"Drama, Romance",1.89,7.2
Above the Rim,"Crime, Drama",4.38,6.7
Addams Family Values,"Comedy, Family, Fantasy",17.56,6.5
Martin Lawrence: You So Crazy,Comedy,0.39,4.5
The Age of Innocence,"Drama, Romance",8.01,7.0
Airheads,"Comedy, Crime, Music",7.09,5.8
The Air Up There,"Comedy, Family",1.9,5.1
Another Stakeout,"Action, Comedy",12.97,4.9
Bad Girls,"Action, Adventure, Comedy, Drama, Western",14.64,4.6
Barcelona,"Comedy, Drama, Romance",1.63,6.6
Being Human,"Drama, Comedy, Fantasy",2.78,5.0
The Beverly Hillbillies,Comedy,5.67,5.0
Beverly Hills Cop III,"Action, Comedy, Crime",11.79,5.5
Black Beauty,"Action, Adventure, Drama, Family",8.4,6.6
Blink,"Mystery, Crime, Drama, Thriller",3.0,6.3
Blown Away,"Drama, Action, Thriller",13.16,6.0
Blue Chips,Drama,6.13,5.7
Blue Sky,"Drama, Romance",4.99,6.1
Body Snatchers,"Horror, Science Fiction, Thriller",6.56,5.8
Boxing Helena,"Drama, Romance",4.3,4.5
A Bronx Tale,"Drama, Crime",6.12,7.4
Cabin Boy,Comedy,1.68,4.9
Calendar Girl,"Drama, Comedy",1.32,3.7
Carlito's Way,"Action, Crime, Drama, Thriller",8.7,7.7
City Slickers II: The Legend of Curly's Gold,"Action, Comedy, Drama, Western",8.61,4.9
Clean Slate,"Comedy, Thriller, Mystery",2.72,5.7
Cliffhanger,"Action, Adventure, Thriller",9.83,6.1
Coneheads,"Comedy, Science Fiction, Family",10.72,4.8
Color of Night,"Drama, Mystery, Romance, Thriller",14.23,5.4
Cops & Robbersons,"Action, Comedy, Family",7.04,5.0
The Cowboy Way,"Western, Action, Comedy",4.29,5.1
Dangerous Game,Drama,2.7,5.4
Dave,Comedy,13.7,6.3
Dazed and Confused,"Comedy, Drama",6.87,7.4
Demolition Man,"Crime, Action, Science Fiction",11.63,6.4
The Endless Summer 2,Documentary,0.41,7.1
Even Cowgirls Get the Blues,"Western, Drama, Comedy, Romance",2.97,4.2
Fatal Instinct,Comedy,3.56,5.4
Farewell My Concubine,Drama,4.88,7.8
The Favor,"Drama, Comedy, Romance",1.34,3.3
Fearless,Drama,9.28,6.8
Fear of a Black Hat,Comedy,0.99,5.8
With Honors,"Comedy, Drama",2.97,6.1
Flesh and Bone,"Drama, Mystery, Romance",1.9,6.2
Widows' Peak,"Comedy, Thriller, Mystery, Romance, Foreign",0.41,4.3
For Love or Money,"Comedy, Romance",8.47,5.7
The Firm,"Drama, Mystery, Thriller",9.68,6.6
Free Willy,"Family, Adventure",5.99,6.0
Fresh,"Crime, Drama, Thriller",3.97,7.6
The Fugitive,"Adventure, Action, Thriller, Crime, Mystery",10.09,7.2
Geronimo: An American Legend,"History, Action, Drama, Western",4.65,5.9
The Getaway,"Drama, Action, Thriller",14.21,5.4
Getting Even with Dad,"Family, Comedy, Crime",2.41,4.5
Go Fish,"Drama, Romance",0.78,3.9
A Good Man in Africa,"Comedy, Drama",5.23,5.2
Guilty as Sin,"Drama, Thriller",5.39,5.6
Hard Target,"Action, Adventure, Crime, Thriller",7.83,6.1
Heaven & Earth,"History, War, Action, Drama",4.19,6.4
Hot Shots! Part Deux,"Action, Comedy, War",13.48,6.2
Live Nude Girls,Comedy,2.14,4.7
The Englishman Who Went Up a Hill But Came Down a Mountain,"Drama, Comedy, Romance",5.33,6.1
The House of the Spirits,"Romance, Drama",10.69,6.7
House Party 3,Comedy,1.0,4.6
The Hudsucker Proxy,"Comedy, Drama",7.55,7.1
I'll Do Anything,"Comedy, Drama",1.74,5.7
In the Army Now,Comedy,6.07,4.7
In the Line of Fire,"Action, Drama, Thriller, Crime, Mystery",12.64,6.8
In the Name of the Father,Drama,7.41,7.6
The Inkwell,"Comedy, Drama, Romance",0.61,3.9
What's Love Got to Do with It,"Drama, Music",14.82,6.9
Jimmy Hollywood,Comedy,4.56,4.6
Judgment Night,"Action, Thriller, Crime",5.54,6.4
Jurassic Park,"Adventure, Science Fiction",8.86,7.6
Kalifornia,"Thriller, Crime",8.43,6.5
Killing Zoe,"Action, Crime, Drama, Thriller",4.95,6.1
King of the Hill,Drama,4.38,6.4
Lassie,"Action, Adventure, Drama, Family",3.65,6.1
Last Action Hero,"Adventure, Fantasy, Action, Comedy, Family",9.43,6.1
Life With Mikey,"Comedy, Family",6.45,5.1
Lightning Jack,"Action, Comedy, Western",2.91,5.7
M. Butterfly,"Drama, Romance",6.52,6.6
Made in America,Comedy,5.43,5.3
Malice,"Drama, Crime",9.86,5.9
The Man without a Face,Drama,6.0,6.2
Manhattan Murder Mystery,"Comedy, Mystery",8.94,7.1
Menace II Society,"Drama, Action, Crime",5.26,7.2
Executive Decision,"Action, Adventure, Drama, Thriller",13.11,5.8
In the Realm of the Senses,"Drama, Romance",8.93,6.5
What Happened Was...,"Thriller, Comedy, Drama, Romance",0.53,7.0
Much Ado About Nothing,"Drama, Comedy, Romance",8.63,7.2
Mr. Jones,"Drama, Romance",6.58,5.9
Mr. Wonderful,"Comedy, Romance",13.01,5.5
Mrs. Doubtfire,"Comedy, Drama, Family",11.17,7.0
Naked,"Comedy, Drama",8.67,7.5
The Next Karate Kid,Adventure,9.97,4.8
The New Age,"Comedy, Drama",0.6,4.8
No Escape,"Action, Drama, Science Fiction, Thriller",9.72,6.1
North,"Comedy, Drama, Family, Fantasy, Science Fiction",15.53,4.8
Orlando,"Romance, Drama, Fantasy",3.8,6.7
A Perfect World,"Crime, Drama, Thriller",8.04,7.2
Philadelphia,Drama,13.37,7.6
