director,title,release_date,budget,revenue,return
Jean-Jacques Annaud,Wings of Courage,1996-09-18,0,0.0,0.0
Chris Noonan,Babe,1995-07-18,30000000,254134910.0,8.47
Christopher Hampton,Carrington,1995-11-08,0,0.0,0.0
Tim Robbins,Dead Man Walking,1995-12-29,11000000,39363635.0,3.58
Stephen Low,Across the Sea of Time,1995-10-20,0,0.0,0.0
Andy Tennant,It Takes Two,1995-11-17,0,0.0,0.0
Amy Heckerling,Clueless,1995-07-19,12000000,0.0,0.0
Darrell James Roodt,"Cry, the Beloved Country",1995-12-15,0,676525.0,0.0
Richard Loncraine,Richard III,1995-12-29,0,0.0,0.0
"Albert Hughes, Allen Hughes",Dead Presidents,1995-10-06,10000000,0.0,0.0
Michael Hoffman,Restoration,1995-12-29,19000000,0.0,0.0
Paul W.S. Anderson,Mortal Kombat,1995-08-18,18000000,122195920.0,6.79
Gus Van Sant,To Die For,1995-05-20,20000000,21284514.0,1.06
Jocelyn Moorhouse,How To Make An American Quilt,1995-10-06,10000000,23574130.0,2.36
David Fincher,Se7en,1995-09-22,33000000,327311859.0,9.92
"Mike Gabriel, Eric Goldberg",Pocahontas,1995-06-14,55000000,346079773.0,6.29
Patricia Rozema,When Night Is Falling,1995-05-05,0,0.0,0.0
Bryan Singer,The Usual Suspects,1995-07-19,6000000,23341568.0,3.89
Richard W. Munchkin,Guardian Angel,1994-11-22,0,0.0,0.0
Woody Allen,Mighty Aphrodite,1995-09-13,15000000,6700000.0,0.45
Gianni Amelio,Lamerica,1994-01-01,0,0.0,0.0
Holly Goldberg Sloan,The Big Green,1995-09-29,0,0.0,0.0
Ulu Grosbard,Georgia,1995-05-19,0,0.0,0.0
Robert Tinnell,Kids of the Round Table,1997-07-08,0,0.0,0.0
Jodie Foster,Home for the Holidays,1995-11-02,0,17519169.0,0.0
Michael Radford,The Postman,1994-09-22,0,0.0,0.0
Robert Lepage,The Confessional,1995-09-29,0,0.0,0.0
Frank Oz,The Indian in the Cupboard,1995-07-14,45000000,0.0,0.0
John Schlesinger,Eye for an Eye,1996-01-12,20000000,0.0,0.0
Stephen Herek,Mr. Holland's Opus,1995-12-29,0,106269971.0,0.0
Paris Barclay,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996-01-12,0,0.0,0.0
Bill Bennett,Two If by Sea,1996-01-12,0,0.0,0.0
Jason Bloom,Bio-Dome,1996-01-12,15000000,0.0,0.0
Farhad Mann,Lawnmower Man 2: Beyond Cyberspace,1996-01-12,0,2409225.0,0.0
James Foley,Two Bits,1995-10-22,0,0.0,0.0
Josiane Balasko,French Twist,1995-02-08,0,0.0,0.0
F. Gary Gray,Friday,1995-04-26,3500000,28215918.0,8.06
Robert Rodriguez,From Dusk Till Dawn,1996-01-19,19000000,25836616.0,1.36
Andrew Sipes,Fair Game,1995-11-03,50000000,11534477.0,0.23
Noah Baumbach,Kicking and Screaming,1995-10-06,0,718490.0,0.0
Claude Lelouch,Les Miserables,1995-03-22,0,0.0,0.0
Michael Goldenberg,Bed of Roses,1996-01-26,0,19030691.0,0.0
Steve Miner,Big Bully,1996-01-26,15000000,2042530.0,0.14
Christian Duguay,Screamers,1995-09-08,20000000,5781885.0,0.29
Susanne Ofteringer,Nico Icon,1995-02-18,0,0.0,0.0
Sean Penn,The Crossing Guard,1995-11-15,0,0.0,0.0
Brian Gibson,The Juror,1996-02-02,44000000,0.0,0.0
Jafar Panahi,The White Balloon,1995-01-01,0,0.0,0.0
Gary Fleder,Things to Do in Denver When You're Dead,1995-12-01,8000000,529766.0,0.07
Marleen Gorris,Antonia's Line,1995-09-12,900000,0.0,0.0
Tim Reid,Once Upon a Time... When We Were Colored,1996-01-26,0,0.0,0.0
Henry Jaglom,Last Summer in the Hamptons,1995-11-22,0,0.0,0.0
Philip Haas,Angels and Insects,1995-09-10,0,0.0,0.0
Ridley Scott,White Squall,1996-02-02,38000000,10300000.0,0.27
Ken Kwapis,Dunston Checks In,1996-01-12,16000000,0.0,0.0
Penelope Spheeris,Black Sheep,1996-02-01,0,32.0,0.0
John Badham,Nick of Time,1995-11-22,8169363,8175346.0,1.0
John Duigan,The Journey of August King,1995-09-14,0,0.0,0.0
Stephen Frears,Mary Reilly,1996-02-23,47000000,12379402.0,0.26
Wes Craven,Vampire in Brooklyn,1995-10-26,14000000,19800000.0,1.41
Ted Demme,Beautiful Girls,1996-02-09,0,0.0,0.0
John Woo,Broken Arrow,1996-02-09,50000000,150270147.0,3.01
Kenneth Branagh,A Midwinter's Tale,1995-12-01,0,0.0,0.0
Mathieu Kassovitz,La Haine,1995-05-31,3000000,0.0,0.0
Paul W.S. Anderson,Shopping,1994-12-06,0,0.0,0.0
Nick Broomfield,Heidi Fleiss: Hollywood Madam,1995-12-27,0,0.0,0.0
Harold Becker,City Hall,1996-02-16,0,0.0,0.0
Wes Anderson,Bottle Rocket,1996-02-21,7000000,560069.0,0.08
Nick Castle,Mr. Wrong,1996-02-16,0,0.0,0.0
John Dahl,Unforgettable,1996-02-23,18000000,0.0,0.0
Dennis Dugan,Happy Gilmore,1996-02-16,12000000,41205099.0,3.43
Clint Eastwood,The Bridges of Madison County,1995-05-28,24000000,182016617.0,7.58
Doris Dörrie,Nobody Loves Me,1994-11-07,0,0.0,0.0
Brian Henson,Muppet Treasure Island,1996-02-16,0,34327391.0,0.0
Robert Leacock,Catwalk,1995-12-08,0,0.0,0.0
James Bruce,Headless Body in Topless Bar,1995-05-20,0,0.0,0.0
Mel Gibson,Braveheart,1995-05-24,72000000,210000000.0,2.92
Martin Scorsese,Taxi Driver,1976-02-07,1300000,28262574.0,21.74
Stanley Tong,Rumble in the Bronx,1995-01-30,7500000,32392047.0,4.32
Barbet Schroeder,Before and After,1996-02-23,35000000,0.0,0.0
Mort Ransen,Margaret's Museum,1995-09-13,0,0.0,0.0
Étienne Chatiliez,Happiness Is in the Field,1995-01-31,13365000,0.0,0.0
Jon Blair,Anne Frank Remembered,1995-06-08,0,1.0,0.0
Benjamin Ross,The Young Poisoner's Handbook,1995-01-20,0,0.0,0.0
Eric Schaeffer,If Lucy Fell,1996-03-08,0,0.0,0.0
Andrew Davis,Steal Big Steal Little,1995-09-29,25000000,6278139.0,0.25
Charles T. Kanganis,Race the Sun,1996-03-22,0,0.0,0.0
John N. Smith,The Boys of St. Vincent,1992-12-06,0,0.0,0.0
Reginald Hudlin,Boomerang,1992-06-30,40000000,70100000.0,1.75
Wong Kar-wai,Chungking Express,1994-07-14,0,0.0,0.0
Giuseppe Tornatore,The Star Maker,1995-09-21,0,0.0,0.0
David O. Russell,Flirting with Disaster,1996-03-22,7000000,14702438.0,2.1
Peter MacDonald,The Neverending Story III: Escape from Fantasia,1994-10-26,17000000,0.0,0.0
Moufida Tlatli,The Silences of the Palace,1994-09-30,0,0.0,0.0
Michel Negroponte,Jupiter's Wife,1995-01-01,0,0.0,0.0
Bryan Gordon,Pie in the Sky,1996-02-09,0,0.0,0.0
Rebecca Miller,Angela,1995-01-01,0,0.0,0.0
Michael Lindsay-Hogg,Frankie Starlight,1995-11-22,0,0.0,0.0
William Friedkin,Jade,1995-10-13,50000000,9851610.0,0.2
Ángel Muñiz,Nueba Yol,1995-08-16,0,0.0,0.0
Craig Baldwin,Sonic Outlaws,1995-08-01,0,0.0,0.0
David S. Ward,Down Periscope,1996-03-01,0,0.0,0.0
Mark Rappaport,From the Journals of Jean Seberg,1995-09-08,0,0.0,0.0
Dirk Shafer,Man of the Year,1995-09-15,0,209935.0,0.0
Terence Davies,The Neon Bible,1995-08-23,0,0.0,0.0
Sandip Ray,Target,1995-08-01,0,0.0,0.0
Jon Avnet,Up Close & Personal,1996-03-01,60000000,0.0,0.0
Mike Nichols,The Birdcage,1996-03-08,31000000,185260553.0,5.98
Jakov Sedlar,Virgin Mary,1995-10-12,0,0.0,0.0
Edward Burns,The Brothers McMullen,1995-08-09,0,0.0,0.0
Michael Bay,Bad Boys,1995-04-07,19000000,141407024.0,7.44
Christopher Cain,The Amazing Panda Adventure,1995-08-25,0,0.0,0.0
Scott Kalvert,The Basketball Diaries,1995-04-21,0,0.0,0.0
Mike Newell,An Awfully Big Adventure,1995-07-21,4000000,851545.0,0.21
Hal Hartley,Amateur,1994-08-05,0,0.0,0.0
Ron Howard,Apollo 13,1995-06-30,52000000,355237933.0,6.83
Michael Caton-Jones,Rob Roy,1995-04-13,28000000,31596911.0,1.13
Abel Ferrara,The Addiction,1995-01-10,0,0.0,0.0
Joel Schumacher,Batman Forever,1995-06-16,100000000,336529144.0,3.37
Luis Buñuel,Belle de Jour,1967-05-24,0,0.0,0.0
John Boorman,Beyond Rangoon,1995-05-24,0,0.0,0.0
"Paul Auster, Wayne Wang",Blue in the Face,1995-09-15,2000000,1275000.0,0.64
Michael Moore,Canadian Bacon,1995-06-08,11000000,178104.0,0.02
Brad Silberling,Casper,1995-05-26,50000000,287928194.0,5.76
Spike Lee,Clockers,1995-09-15,25000000,13071518.0,0.52
Frank Marshall,Congo,1995-06-09,50000000,152022101.0,3.04
Tony Scott,Crimson Tide,1995-05-12,53000000,157387195.0,2.97
Terry Zwigoff,Crumb,1994-09-10,0,3174695.0,0.0
Robert Rodriguez,Desperado,1995-08-25,7000000,25405445.0,3.63
Carl Franklin,Devil in a Blue Dress,1995-09-15,27000000,16140822.0,0.6
John McTiernan,Die Hard: With a Vengeance,1995-05-19,90000000,366101666.0,4.07
Gregg Araki,The Doom Generation,1995-10-27,0,0.0,0.0
Christopher Menaul,Feast of July,1995-10-12,0,0.0,0.0
Jerry Zucker,First Knight,1995-07-07,55000000,127600435.0,2.32
Dwight H. Little,Free Willy 2 - The Adventure Home,1995-07-19,0,0.0,0.0
Iain Softley,Hackers,1995-09-14,20000000,7563728.0,0.38
Christopher Ashley,Jeffrey,1995-08-18,0,0.0,0.0
Robert Longo,Johnny Mnemonic,1995-05-26,25000000,19075720.0,0.76
Danny Cannon,Judge Dredd,1995-06-30,90000000,113493481.0,1.26
John Fortenberry,Jury Duty,1995-04-12,0,17014653.0,0.0
Larry Clark,Kids,1995-07-28,1500000,7412216.0,4.94
Tom DiCillo,Living in Oblivion,1995-01-20,500000,1148752.0,2.3
Clive Barker,Lord of Illusions,1995-08-25,0,0.0,0.0
Denys Arcand,Love & Human Remains,1993-05-20,0,0.0,0.0
Antonia Bird,Mad Love,1995-05-26,0,15453274.0,0.0
Kevin Smith,Mallrats,1995-10-20,6000000,2122561.0,0.35
Bryan Spicer,Mighty Morphin Power Rangers: The Movie,1995-06-30,15000000,66000000.0,4.4
David Anspaugh,Moonlight and Valentino,1995-09-29,0,0.0,0.0
Anthony Waller,Mute Witness,1995-09-28,2,1.0,0.5
Michael Almereyda,Nadja,1994-09-13,0,0.0,0.0
Irwin Winkler,The Net,1995-07-28,22000000,110627965.0,5.03
Chris Columbus,Nine Months,1995-07-12,0,69660733.0,0.0
Daisy von Scherler Mayer,Party Girl,1995-06-09,150000,472370.0,3.15
Gregory Widen,The Prophecy,1995-09-01,8,16.0,2.0
Norman René,Reckless,1995-11-17,0,0.0,0.0
Todd Haynes,Safe,1995-06-23,0,0.0,0.0
Roland Joffé,The Scarlet Letter,1995-10-13,50000000,10382407.0,0.21
Paul Verhoeven,Showgirls,1995-09-22,45000000,20350754.0,0.45
"Wayne Wang, Paul Auster",Smoke,1995-06-09,7000000,8349430.0,1.19
Lasse Hallström,Something to Talk About,1995-08-04,0,50892160.0,0.0
Roger Donaldson,Species,1995-07-07,35000000,113374103.0,3.24
James Keach,The Stars Fell on Henrietta,1995-09-15,0,0.0,0.0
Kathryn Bigelow,Strange Days,1995-10-13,42000000,7959291.0,0.19
Jacques Demy,The Umbrellas of Cherbourg,1964-02-19,0,0.0,0.0
Wesley Strick,The Tie That Binds,1995-09-08,14000000,5780000.0,0.41
Martha Coolidge,Three Wishes,1995-10-27,0,7025496.0,0.0
Agnieszka Holland,Total Eclipse,1995-11-02,0,339889.0,0.0
Beeban Kidron,"To Wong Foo, Thanks for Everything! Julie Newmar",1995-09-07,0,47774193.0,0.0
Geoff Murphy,Under Siege 2: Dark Territory,1995-07-13,60000000,104324083.0,1.74
Diane Keaton,Unstrung Heroes,1995-09-15,0,0.0,0.0
Douglas Keeve,Unzipped,1995-08-11,0,0.0,0.0
Alfonso Aráu,A Walk in the Clouds,1995-08-11,20000000,50012507.0,2.5
Kevin Reynolds,Waterworld,1995-07-28,175000000,264218220.0,1.51
Desmond Nakano,White Man's Burden,1995-12-01,8000000,0.0,0.0
Walter Hill,Wild Bill,1995-12-01,30000000,0.0,0.0
Mike Figgis,The Browning Version,1994-10-12,0,0.0,0.0
Greg Beeman,Bushwhacked,1995-08-04,0,0.0,0.0
Nikita Mikhalkov,Burnt by the Sun,1994-05-01,2800000,2616503.0,0.93
Milčo Mančevski,Before the Rain,1994-06-09,0,763847.0,0.0
Richard Linklater,Before Sunrise,1995-01-27,2500000,5535405.0,2.21
Tamra Davis,Billy Madison,1995-02-10,10000000,26488734.0,2.65
Guy Ferland,The Babysitter,1995-10-17,0,0.0,0.0
Herbert Ross,Boys on the Side,1995-02-03,21000000,23450000.0,1.12
Peter Horton,The Cure,1995-04-21,0,0.0,0.0
Stuart Gordon,Castle Freak,1995-08-04,0,0.0,0.0
Pat O'Connor,Circle of Friends,1995-03-16,0,0.0,0.0
Kevin Smith,Clerks,1994-09-13,27000,3151130.0,116.71
Jeremy Leven,Don Juan DeMarco,1994-10-01,25000000,22200000.0,0.89
Barry Levinson,Disclosure,1994-12-09,55000000,214015089.0,3.89
René Bonnière,Dream Man,1995-01-01,0,0.0,0.0
John Badham,Drop Zone,1994-12-08,45000000,0.0,0.0
Jack Baran,Destiny Turns on the Radio,1995-04-28,0,0.0,0.0
Roman Polanski,Death and the Maiden,1994-05-04,0,0.0,0.0
Taylor Hackford,Dolores Claiborne,1995-03-24,0,0.0,0.0
"Peter Farrelly, Bobby Farrelly",Dumb and Dumber,1994-12-16,16000000,247275374.0,15.45
Ang Lee,Eat Drink Man Woman,1994-08-03,0,7294403.0,0.0
Atom Egoyan,Exotica,1994-09-24,0,0.0,0.0
Garry Marshall,Exit to Eden,1994-10-14,0,6841570.0,0.0
Tim Burton,Ed Wood,1994-09-27,18000000,5887457.0,0.33
Lawrence Kasdan,French Kiss,1995-05-05,0,0.0,0.0
Billy Crystal,Forget Paris,1995-05-19,0,0.0,0.0
Phillip Borsos,Far from Home: The Adventures of Yellow Dog,1995-01-13,0,0.0,0.0
"Kevin Lima, Paul Brizzi",A Goofy Movie,1995-04-07,0,35348597.0,0.0
Brett Leonard,Hideaway,1995-03-03,15000000,12201255.0,0.81
Carlo Carlei,Fluke,1995-06-02,0,0.0,0.0
Gérard Corbiau,Farinelli,1994-12-07,0,0.0,0.0
Mark Lewis,Gordy,1995-05-12,0,3992809.0,0.0
Art Clokey,Gumby: The Movie,1995-12-01,0,0.0,0.0
Charles Burnett,The Glass Shield,1994-09-16,0,0.0,0.0
Steve James,Hoop Dreams,1994-09-12,700000,7830611.0,11.19
Peter Jackson,Heavenly Creatures,1994-09-02,5000000,3049135.0,0.61
Randall Miller,Houseguest,1995-01-06,10500000,26325256.0,2.51
Bernard Rose,Immortal Beloved,1994-12-16,120,0.0,0.0
Steven Brill,Heavyweights,1995-02-17,0,17689177.0,0.0
J. F. Lawton,The Hunted,1995-02-24,0,0.0,0.0
Fred Schepisi,I.Q.,1994-12-24,25000000,0.0,0.0
Neil Jordan,Interview with the Vampire,1994-11-11,60000000,223664608.0,3.73
James Ivory,Jefferson in Paris,1995-03-31,14000000,2474000.0,0.18
James Melkonian,The Jerky Boys,1995-02-03,0,0.0,0.0
Ivan Reitman,Junior,1994-11-22,60000000,37000000.0,0.62
Arne Glimcher,Just Cause,1995-02-17,0,0.0,0.0
Michael Gottlieb,A Kid in King Arthur's Court,1995-08-11,0,0.0,0.0
Barbet Schroeder,Kiss of Death,1995-04-21,40000000,0.0,0.0
George Lucas,Star Wars,1977-05-25,11000000,775398007.0,70.49
Gillian Armstrong,Little Women,1994-12-21,18000000,0.0,0.0
Alfonso Cuarón,A Little Princess,1995-05-10,17000000,0.0,0.0
Ken Loach,Ladybird Ladybird,1994-02-18,0,0.0,0.0
Claude Chabrol,L'Enfer,1994-02-16,10000000,0.0,0.0
Alfonso Aráu,Like Water for Chocolate,1992-04-16,2000000,21665468.0,10.83
Edward Zwick,Legends of the Fall,1994-12-16,30000000,160638883.0,5.35
Nick Castle,Major Payne,1995-03-24,0,0.0,0.0
James Gray,Little Odessa,1994-10-27,0,0.0,0.0
Allison Anders,Mi Vida Loca,1994-06-08,0,0.0,0.0
Glenn Gordon Caron,Love Affair,1994-10-21,60000000,0.0,0.0
Stephen Gyllenhaal,Losing Isaiah,1995-03-17,17000000,7603766.0,0.45
Nicholas Hytner,The Madness of King George,1994-12-28,0,0.0,0.0
Kenneth Branagh,Mary Shelley's Frankenstein,1994-11-04,45000000,112006296.0,2.49
James Orr,Man of the House,1995-03-03,0,0.0,0.0
Nora Ephron,Mixed Nuts,1994-12-21,15000000,0.0,0.0
Richard Benjamin,Milk Money,1994-08-31,0,18137661.0,0.0
Les Mayfield,Miracle on 34th Street,1994-11-18,0,46264384.0,0.0
David Frankel,Miami Rhapsody,1995-01-27,6,5.0,0.83
Gregory Nava,My Family,1995-05-03,5500000,0.0,0.0
Marc Rocco,Murder in the First,1995-01-20,0,17381942.0,0.0
Robert Benton,Nobody's Fool,1994-12-23,0,0.0,0.0
Michael Apted,Nell,1994-12-23,31000000,106683817.0,3.44
Nick Gomez,New Jersey Drive,1995-04-19,0,0.0,0.0
Tōru Murakawa,New York Cop,1993-08-14,0,0.0,0.0
Vadim Jean,Beyond Bedlam,1994-04-22,4800000,0.0,0.0
Albert Pyun,Nemesis 2 - Nebula,1995-09-26,0,0.0,0.0
Alan Jacobs,Nina Takes a Lover,1995-03-03,0,0.0,0.0
Oliver Stone,Natural Born Killers,1994-08-25,34000000,50282766.0,1.48
Norman Jewison,Only You,1994-09-17,0,0.0,0.0
Lee Tamahori,Once Were Warriors,1994-09-02,0,2201126.0,0.0
Anne Goursaud,Poison Ivy II: Lily,1996-01-16,0,0.0,0.0
Wolfgang Petersen,Outbreak,1995-03-10,50000000,189859560.0,3.8
Luc Besson,Leon: The Professional,1994-09-14,16000000,45284974.0,2.83
Mira Nair,The Perez Family,1995-05-12,11000000,2832826.0,0.26
Joshua Brand,A Pyromaniac's Love Story,1995-04-28,0,0.0,0.0
Quentin Tarantino,Pulp Fiction,1994-09-10,8000000,213928762.0,26.74
Mario Van Peebles,Panther,1995-11-10,0,6834525.0,0.0
Ang Lee,Pushing Hands,1992-02-01,400000,152322.0,0.38
Antonia Bird,Priest,1994-01-01,0,4176932.0,0.0
Robert Redford,Quiz Show,1994-09-16,0,0.0,0.0
Kayo Hatta,Picture Bride,1995-05-05,0,0.0,0.0
Patrice Chéreau,Queen Margot,1994-05-13,0,0.0,0.0
Sam Raimi,The Quick and the Dead,1995-02-09,32000000,18552460.0,0.58
Peter Yates,Roommates,1995-03-01,22000000,12400000.0,0.56
Robert Altman,Prêt-à-Porter,1994-12-23,15000000,11300653.0,0.75
Krzysztof Kieślowski,Three Colors: Red,1994-05-27,0,0.0,0.0
Krzysztof Kieślowski,Three Colors: Blue,1993-01-10,0,0.0,0.0
Krzysztof Kieślowski,Three Colors: White,1994-01-26,0,0.0,0.0
He Ping,"Red Firecracker, Green Firecracker",1994-10-14,0,0.0,0.0
Fred Gerber,Rent-a-Kid,1995-01-01,0,0.0,0.0
George Mihalka,Relative Fear,1995-10-03,0,0.0,0.0
Harold Ramis,Stuart Saves His Family,1995-04-12,0,0.0,0.0
Richard Rich,The Swan Princess,1994-11-18,35000000,9771658.0,0.28
John Sayles,The Secret of Roan Inish,1994-01-01,0,0.0,0.0
Luis Llosa,The Specialist,1994-10-07,45000000,170362582.0,3.79
Roland Emmerich,Stargate,1994-10-27,55000000,196567262.0,3.57
John Pasquin,The Santa Clause,1994-11-10,22000000,189833357.0,8.63
Frank Darabont,The Shawshank Redemption,1994-09-23,25000000,28341469.0,1.13
Danny Boyle,Shallow Grave,1994-12-22,0,0.0,0.0
"Scott McGehee, David Siegel",Suture,1993-09-14,0,102780.0,0.0
"Tomás Gutiérrez Alea, Juan Carlos Tabío",Strawberry and Chocolate,1993-01-01,0,0.0,0.0
George Huang,Swimming with Sharks,1994-09-10,0,0.0,0.0
"Kevin Dowling, Geoff Burton",The Sum of Us,1994-07-12,32,0.0,0.0
Kelly Makin,Senior Trip,1995-09-08,0,0.0,0.0
Zhang Yimou,To Live,1994-06-30,0,0.0,0.0
Rachel Talalay,Tank Girl,1995-03-31,25000000,4064495.0,0.16
Ernest R. Dickerson,Tales from the Crypt: Demon Knight,1995-01-13,0,0.0,0.0
David Carson,Star Trek: Generations,1994-11-17,38000000,120000000.0,3.16
Rusty Cundieff,Tales from the Hood,1995-05-24,6000000,12000000.0,2.0
Brian Gilbert,Tom & Viv,1994-04-15,0,0.0,0.0
John Carpenter,Village of the Damned,1995-04-28,0,0.0,0.0
Peter Segal,Tommy Boy,1995-03-31,0,32648673.0,0.0
Louis Malle,Vanya on 42nd Street,1994-09-13,0,0.0,0.0
Steven Soderbergh,The Underneath,1995-04-28,6500000,0.0,0.0
Preston A. Whitmore II,The Walking Dead,1995-02-24,0,0.0,0.0
Lasse Hallström,What's Eating Gilbert Grape,1993-12-17,11000000,10032765.0,0.91
Brett Leonard,Virtuosity,1995-08-04,30000000,24048000.0,0.8
Jon Turteltaub,While You Were Sleeping,1995-04-21,17000000,182057016.0,10.71
Jon Avnet,The War,1994-11-04,0,0.0,0.0
Mina Shum,Double Happiness,1994-09-07,0,759393.0,0.0
P.J. Hogan,Muriel's Wedding,1994-09-29,3000000,15119639.0,5.04
Melanie Mayron,The Baby-Sitters Club,1995-08-18,0,0.0,0.0
Tom Shadyac,Ace Ventura: Pet Detective,1994-02-04,15000000,107217396.0,7.15
Stephan Elliott,"The Adventures of Priscilla, Queen of the Desert",1994-05-31,0,11220670.0,0.0
Iain Softley,Backbeat,1994-04-01,0,0.0,0.0
Roman Polanski,Bitter Moon,1992-09-02,5000000,1862805.0,0.37
Woody Allen,Bullets Over Broadway,1994-10-14,0,0.0,0.0
Phillip Noyce,Clear and Present Danger,1994-08-03,62000000,215887717.0,3.48
Joel Schumacher,The Client,1994-07-20,45000000,117615211.0,2.61
Jessie Nelson,"Corrina, Corrina",1994-08-12,0,0.0,0.0
Spike Lee,Crooklyn,1994-05-13,0,0.0,0.0
Alex Proyas,The Crow,1994-05-11,15000000,94000000.0,6.27
Ron Shelton,Cobb,1994-12-02,0,1007583.0,0.0
Brian Levant,The Flintstones,1994-05-26,46000000,341631208.0,7.43
Robert Zemeckis,Forrest Gump,1994-07-06,55000000,677945399.0,12.33
Mike Newell,Four Weddings and a Funeral,1994-03-09,6000000,254700832.0,42.45
John Singleton,Higher Learning,1995-01-11,0,38290723.0,0.0
Darnell Martin,I Like It Like That,1994-10-14,0,1777020.0,0.0
Charles Shyer,I Love Trouble,1994-06-29,45000000,61947267.0,1.38
Andrew Bergman,It Could Happen to You,1994-07-29,0,0.0,0.0
Stephen Sommers,The Jungle Book,1994-12-23,0,0.0,0.0
Ray Müller,"The Wonderful, Horrible Life of Leni Riefenstahl",1993-09-11,0,449707.0,0.0
"Roger Allers, Rob Minkoff",The Lion King,1994-06-23,45000000,788241776.0,17.52
Bernardo Bertolucci,Little Buddha,1993-12-01,35000000,4858139.0,0.14
Wes Craven,New Nightmare,1994-10-13,14000000,18090181.0,1.29
Chuck Russell,The Mask,1994-07-29,23000000,351583407.0,15.29
Richard Donner,Maverick,1994-05-20,0,0.0,0.0
Alan Rudolph,Mrs. Parker and the Vicious Circle,1994-09-07,0,0.0,0.0
Peter Segal,The Naked Gun 33⅓: The Final Insult,1994-03-18,30000000,51132598.0,1.7
Ron Howard,The Paper,1994-03-18,6000000,0.0,0.0
Ben Stiller,Reality Bites,1994-02-18,11500000,20079850.0,1.75
John Dahl,Red Rock West,1993-07-08,8000000,2000000.0,0.25
Donald Petrie,Ri¢hie Ri¢h,1994-12-19,40000000,0.0,0.0
Robert Allan Ackerman,Safe Passage,1994-12-01,0,0.0,0.0
Curtis Hanson,The River Wild,1994-09-30,45000000,0.0,0.0
Jan de Bont,Speed,1994-06-09,30000000,350448145.0,11.68
Ron Underwood,Speechless,1994-12-16,0,0.0,0.0
Peter Hyams,Timecop,1994-09-15,27000000,101646581.0,3.76
James Cameron,True Lies,1994-07-14,115000000,378882411.0,3.29
Luis Mandoki,When a Man Loves a Woman,1994-04-29,0,50021959.0,0.0
Mike Nichols,Wolf,1994-06-17,0,0.0,0.0
Lawrence Kasdan,Wyatt Earp,1994-06-24,63000000,25052000.0,0.4
Damian Harris,Bad Company,1995-01-20,0,0.0,0.0
Suri Krishnamma,A Man of No Importance,1994-12-22,0,953.0,0.0
Jefery Levy,S.F.W.,1994-09-15,0,0.0,0.0
Keenen Ivory Wayans,A Low Down Dirty Shame,1994-11-23,10000000,29392418.0,2.94
"Robert Lee King, Brian Sloan, Raoul O'Connell","Boys Life: Three Stories of Love, Lust, and Liberation",1994-09-30,0,0.0,0.0
Yves Angelo,Colonel Chabert,1994-01-01,0,0.0,0.0
Russ Meyer,"Faster, Pussycat! Kill! Kill!",1965-08-06,45000,0.0,0.0
